"ID","Name","PwURL","Amount"
"20005","Rentals","/category/rentals","90"
"20256","Infrastructure-as-a-Service","/category/infrastructure-as-a-service","89"
"20259","International","/category/international","88"
"20245","Writing","/category/writing","88"
"20063","Gambling","/category/gambling","88"
"20251","Support","/category/support","88"
"20067","Cycling","/category/cycling","88"
"20404","USA","/category/usa","88"
"20224","Forms","/category/forms","87"
"22473","Developer Relations","/category/developer-relations","87"
"20169","Dashboards","/category/dashboards","87"
"20051","Spanish","/category/spanish","87"
"20366","Rewards","/category/rewards","86"
"19992","Algorithms","/category/algorithms","85"
"20347","Profiles","/category/profiles","85"
"20124","Time","/category/time","85"
"20335","Planning","/category/planning","85"
"20217","Graphics","/category/graphics","85"
"20182","Dictionary","/category/dictionary","83"
"20338","Polls","/category/polls","83"
"20119","Classifieds","/category/classifieds","82"
"20267","Keywords","/category/keywords","82"
"20249","Tweets","/category/tweets","81"
"20345","Privacy","/category/privacy","79"
"20360","Registration","/category/registration","77"
"20178","Database-as-a-Service","/category/database-as-a-service","77"
"20052","Barcodes","/category/barcodes","77"
"20165","Spreadsheets","/category/spreadsheets","76"
"20364","Reservations","/category/reservations","75"
"19973","Plugins","/category/plugins","75"
"20270","Learning Management Systems","/category/learning-management-systems","74"
"20127","Encoding","/category/encoding","73"
"20321","Ordering","/category/ordering","70"
"20314","OAuth","/category/oauth","69"
"20046","Backup","/category/backup","69"
"20302","Russian","/category/russian","69"
"20187","Logistics","/category/logistics","69"
"20391","Words","/category/words","68"
"20409","Virtualization","/category/virtualization","68"
"20333","Performance","/category/performance","68"
"20134","Forums","/category/forums","68"
"20276","Museums","/category/museums","67"
"20104","Celebrities","/category/celebrities","64"
"20371","Taxes","/category/taxes","64"
"20287","Measurements","/category/measurements","64"
"20237","Nutrition","/category/nutrition","63"
"20144","Teleconferencing","/category/teleconferencing","62"
"20228","Funding","/category/funding","62"
"19964","Accessibility","/category/accessibility","62"
"20384","Spam","/category/spam","62"
"19986","Agriculture","/category/agriculture","62"
"20342","Zip Codes","/category/zip-codes","62"
"20028","Augmented Reality","/category/augmented-reality","61"
"20350","Purchasing","/category/purchasing","61"
"19999","Animals","/category/animals","60"
"19982","African","/category/african","59"
"20236","Gifts","/category/gifts","59"
"19985","Agile","/category/agile","58"
"20177","Dating","/category/dating","57"
"20312","Notes","/category/notes","56"
"20423","HTML5","/category/html5","137"
"20294","Surveys","/category/surveys","137"
"20263","VoIP","/category/voip","137"
"20355","Ratings","/category/ratings","136"
"20365","REST","/category/rest","135"
"20032","Authorization","/category/authorization","135"
"20170","Data Mining","/category/data-mining","135"
"19969","Activity Streams","/category/activity-streams","135"
"20309","Non-Profit","/category/non-profit","134"
"20060","German","/category/german","133"
"20332","PDF","/category/pdf","132"
"20180","Nordic","/category/nordic","131"
"20419","Wiki","/category/wiki","129"
"20160","Crime","/category/crime","126"
"20081","Bots","/category/bots","126"
"20386","Subscriptions","/category/subscriptions","125"
"20084","Browsers","/category/browsers","125"
"20121","Sustainability","/category/sustainability","124"
"20322","Organization","/category/organization","121"
"20138","Comparisons","/category/comparisons","121"
"20179","Indian","/category/indian","120"
"20394","Time Tracking","/category/time-tracking","119"
"20029","Australian","/category/australian","118"
"20093","Canadian","/category/canadian","118"
"20065","Religion","/category/religion","118"
"20307","New York City","/category/new-york-city","118"
"20274","URLs","/category/urls","117"
"20339","Postal","/category/postal","117"
"20053","Discounts","/category/discounts","117"
"20054","French","/category/french","116"
"20168","Data-as-a-Service","/category/data-as-a-service","115"
"19987","Charity","/category/charity","114"
"20003","Q&amp;A","/category/qa","114"
"20320","Optimization","/category/optimization","113"
"20252","History","/category/history","112"
"20205","Human Resources","/category/human-resources","111"
"20392","Text-to-Speech","/category/text-to-speech","109"
"20140","Compliance","/category/compliance","108"
"20319","Standards","/category/standards","107"
"20248","Hardware","/category/hardware","106"
"20115","Cities","/category/cities","105"
"20172","Syncing","/category/syncing","105"
"20416","WebRTC","/category/webrtc","104"
"20022","Astronomy","/category/astronomy","103"
"20232","Genetics","/category/genetics","103"
"20405","Upload","/category/upload","102"
"20101","Catalogs","/category/catalogs","101"
"20219","Feedback","/category/feedback","100"
"20260","Inventory","/category/inventory","98"
"20146","Home Automation","/category/home-automation","96"
"20278","Lyrics","/category/lyrics","96"
"23003","Cryptocurrency","/category/cryptocurrency","96"
"20395","Tourism","/category/tourism","95"
"20408","Viewer","/category/viewer","94"
"20376","SDK","/category/sdk","93"
"20163","Crowdsourcing","/category/crowdsourcing","93"
"20266","Japanese","/category/japanese","93"
"20381","Smartphone","/category/smartphone","92"
"20271","Mail","/category/mail","91"
"20039","B2B","/category/b2b","90"
"19978","Mapping","/category/mapping","4662"
"20087","Social","/category/social","3814"
